Case Number,Species ,Length,
2008.07.25.a,,,
2008.07.24.b,3' shark,,
2008.07.24.a,3' to 4' shark,,
2008.07.23,,,
2008.07.19,4' shark,,
2008.07.18,Oceanic whitetip shark,,
2008.07.13,,,
2008.07.11,,,
2008.07.09,,,
2008.07.05,,,
2008.07.00,Starry smoothhound shark, 1m,
2008.06.28.c,Shark involvement prior to death not confirmed,,
2008.06.28.b,Bull shark, 6' to 7',
2008.06.28.a,White shark, 2m,
2008.06.26.R,White shark, 4.5m,
2008.06.26.b,,,
2008.06.26.a,4.5 to 5' shark,,
2008.06.24,,,
2008.06.21,White shark, 15',
2008.06.20,,,
2008.06.11,,,
2008.06.07,,,
2008.06.02.R,Basking shark,,
2008.06.01.b,5' shark,,
2008.06.01.a,Bull shark,,
2008.05.26,,,
2008.05.24.b,Tiger sharks in area,,
2008.05.24.a,3 m shark,,
2008.05.23,2 m shark,,
2008.05.14,,,
2008.05.10,White shark, 4m,
2008.05.07.b,2 small bull sharks,,
2008.05.07.a,,,
2008.05.01,,,
2008.04.28.b,Tiger shark,,
2008.04.28.a,4' shark,,
2008.04.27,,,
2008.04.26.b,Bull shark, 1.8m,
2008.04.17,; thought to be a barracuda bite,,
2008.04.26.a,,,
2008.04.25,White shark, 12' to 15',
2008.04.20.b,,,
2008.04.20.a,Tiger shark, 2.3m ,
2008.04.19.R,Tiger shark, 13' female,
2008.04.18,Reported by media as shark attack, but shark involvement prior to death was not confirmed,
2008.04.15,1.5' to 2' shark,,
2008.04.09.R,,,
2008.04.08.R,,,
2008.04.08,Bull shark,,
2008.04.03,,,
2008.03.28.c,,,
2008.03.28.b,4' to 5' shark,,
2008.03.28.a,a small shark,,
2008.03.25,6' shark,,
2008.03.23,2.5' shark,,
2008.03.21,,,
2008.03.15,,,
2008.03.07,White shark,,
2008.02.24,A bull shark, according to some of the divers on the boat,
2008.02.21.R,,,
2008.02.15,,,
2008.02.07,1 m shark,,
2008.02.06,3' shark,,
2008.01.29,Blacktip shark, 2m,
2008.01.27,Mako shark, 90kg,
2008.01.19.R,,,
2008.01.14,Bronze whaler shark, 4m,
2008.01.10,a small shark,,
2008.00.00.b,Nurse shark, 10',
2008.00.00.a,Possibly a hammerhead shark,,
2007.12.21,3 m shark,,
2007.12.19,,,
2007.12.18,2 m shark,,
2007.12.15,a small shark,,
2007.12.14,Not a shark attack; it was a hoax,,
2007.12.10,Tiger shark,,
2007.12.09,,,
2007.12.07,2.27 m shark,,
2007.11.18,reef shark,,
2007.11.08,,,
2007.11.07,1.5 to 2 m shark,,
2007.11.06,4' to 5' shark,,
2007.11.04,5' shark,,
2007.11.03,White shark, 3m to 4m,
2007.11.00,,,
2007.10.29,Tiger shark,,
2007.10.15,White shark, 2.5m ,
2007.10.13,Bronze whaler shark,,
2007.10.07,3' to 4' shark,,
2007.10.06,Blacktip shark, 5',
2007.09.30.c,,,
2007.09.30.b,,,
2007.09.30.a,Tiger shark,,
2007.09.28,Caribbean reef shark,,
2007.09.27.b,White shark,,
2007.09.27.a,Oceanic whitetip sharks were in the vicinity,,
2007.09.22.b,,,
2007.09.22.a,4' shark,,
2007.09.20,3' shark,,
2007.09.17,Gray reef shark,,
2007.09.16.b,,,
2007.09.16.a,9.5' shark?,,
2007.09.13,Nurse shark, 2' to 3' ,
2007.09.08,,,
2007.09.05,,,
2007.09.04,,,
2007.09.03.b,"18"" to 24"" shark",,
2007.09.03.a,Possibly a spinner shark,,
2007.08.28.b,Tiger shark, 10' to 12' ,
2007.08.28.a,White shark, 12',
2007.08.26,3' shark,,
2007.08.25,3' shark,,
2007.08.22,Sand shark,,
2007.08.20,Sandtiger shark,,
2007.08.19.c,,,
2007.08.19.b,4' to 5' shark,,
2007.08.19.a.,,,
2007.08.15,Possibly a 6' bull shark,,
2007.08.12, ,,
2007.08.11,,,
2007.08.09.b,,,
2007.08.09.a,,,
2007.08.07,Possibly a 10' bull shark,,
2007.07.29,,,
2007.07.28,,,
2007.07.22,White shark, 12' ,
2007.07.21,White shark,,
2007.07.19.b, ,,
2007.07.19.a,Bronze whaler shark, 1.5 m ,
2007.07.18.b,2' to 3' shark,,
2007.07.18.a,3' small spotted catshark, Scyliorhinus canicula,
2007.07.17.b,,,
2007.07.17.a,5' shark,,
2007.07.10,Bull shark, 5' ,
2007.07.05,,,
2007.07.04,2 m shark,,
2007.07.00,,,
2007.06.30.b,Lemon shark, 6' female ,
2007.06.30.a,,,
2007.06.25,4' shark,,
2007.06.24,Tiger shark,,
2007.06.17,,,
2007.06.12,3' to 4' shark,,
2007.06.05,,,
2007.05.26,,,
2007.05.24,A 10-year-old 94-pound pregnant blacktip reef shark,,
2007.05.17.R,Lesser spotted dogfish, Scyliorhinus canicula, less than 80 cm in length
2007.05.16,2.5 m shark,,
2007.05.12,10' shark,,
2007.05.10,4' to 5' shark,,
2007.05.09.R,White shark, 2m ,
2007.05.08,,,
2007.05.07.b,Tiger shark, 14' ,
2007.05.07.a,6' to 8' shark,,
2007.05.04,,,
2007.05.00,Lemon shark, >1 m ,
2007.04.26,a small shark,,
2007.04.22,blacktip or spinner shark,,
2007.04.20,3' to 4' shark,,
2007.04.13.R,Bull shark, 10' ,
2007.04.09,Tiger shark,,
2007.04.01,,,
2007.03.31.b,3' shark,,
2007.03.31.a,,,
2007.03.22,,,
2007.03.21,4' to 5' shark,,
2007.03.20,1.5 m shark,,
2007.03.14.R,5' shark,,
2007.03.12,2 to 2.5 m shark,,
2007.03.11,,,
2007.03.05.R,Tiger shark,,
2007.02.04,,,
2007.02.03,,,
2007.02.00,,,
2007.01.25.b,Tiger shark,,
2007.01.25.a,14' shark,,
2007.01.23,White shark, 3m,
2007.01.19,,,
2007.01.14,Tiger shark,,
2007.01.09,2.4 m shark,,
2007.01.07,"24"" to 30"" shark",,
2007.01.05,6' to 8' shark, possibly a tiger shark,
2006.12.18,2.5 to 3 m shark,,
2006.12.11,2 to 3 m shark,,
2006.12.10,White shark, 12' to 15' ,
2006.12.06,Raggedtooth shark, 150-kg,
2006.12.02,White shark, 5m ,
2006.11.25,,,
2006.11.11,2 m to 3 m shark,,
2006.11.09,Bull shark, 1.5m ,
2006.10.31,White shark, 16' ,
2006.10.16,,,
2006.10.10,,,
2006.10.07,1' to 4' shark,,
2006.10.05,3' to 3.5' shark,,
2006.10.00.b,,,
2006.10.00.a,,,
2006.09.30,,,
2006.09.29,,,
2006.09.18.R,Nurse shark,,
2006.09.16,,,
2006.09.14,Spinner shark,,
2006.09.11,5' shark,,
2006.09.04,,,
2006.09.03.b,,,
2006.09.03.a,3' shark,,
2006.09.02,,,
2006.09.02,White shark, 3.5m ,
2006.08.29.b,,,
2006.08.29.a,Bronze whaler shark, 6',
2006.08.27,,,
2006.08.22.b,,,
2006.08.22.a,,,
2006.08.20.b,,,
2006.08.20.a,,,
2006.08.15,5 m shark,,
2006.08.13,White shark,,
2006.08.00.b,,,
2006.08.00.a,Bull shark, 1.5m ,
2006.07.31.R,small catsharks,,
2006.07.31.a,White shark?,,
2006.07.29.b,Thought to involve a mako shark, but possibly a sea lion,
2006.07.29.a,,,
2006.07.28,White shark, 3m to 4m,
2006.07.25, ,,
2006.07.23,Bull shark, 4' to 5' ,
2006.07.17.R,,,
2006.07.17,Angel shark, 1.2m ,
2006.07.13,, injury may have been caused by a bluefish,
2006.07.12,,,
2006.07.10,Bull or tiger shark,,
2006.07.09.b,,,
2006.07.09.a,,,
2006.07.08.b,5' to 6' spinner or bull shark,,
2006.07.08.a,,,
2006.06.30,"1.8 m blacktip ""reef"" shark",,
2006.06.30,"1.8 m blacktip ""reef"" shark",,
2006.06.27,,,
2006.06.26,,,
2006.06.24,,,
2006.06.20,Possibly a 1' to 3' blacktip or spinner shark,,
2006.06.18,,,
2006.06.17,,,
2006.06.15,2' to 3' shark,,
2006.06.07,3' to 4' shark,,
2006.06.05,14' white shark,,
2006.05.31,Tiger shark, 8' to 12',
2006.05.28,Tiger shark, 15' female,
2006.05.27,,,
2006.05.24,Grey reef shark, 5' to 8' ,
2006.05.21,,,
2006.05.19,Tiger shark, 10' to 12',
2006.05.10,,,
2006.05.04,,,
2006.05.02,Wobbegong shark, 2 m ,
2006.04.23.R,,,
2006.04.21,,,
2006.04.19,,,
2006.04.13,Bull shark, 4' to bull shark,
2006.04.11,Bronze whaler shark, a  juvenile ,
2006.04.09.b,Raggedtooth shark, 2.5 m to 3 m ,
2006.04.09.a,Tiger shark,,
2006.04.03,,,
2006.03.28.R,3 m, 600-kg shark,
2006.03.23,Tiger shark, 10'  ,
2006.03.22,,,
2006.03.19,Tiger shark, 5' ,
2006.03.15,Bronze whaler shark, 2 m,
2006.02.27,5' to 7' shark,,
2006.02.23,,,
2006.02.13,,,
2006.02.12.b,,,
2006.02.12.a,4.5 m white shark,,
2006.02.08,Raggedtooth shark,,
2006.02.01.b,Tiger shark,,
2006.02.01.a,12' to 18' shark,,
2006.01.28.R,12' shark,,
2006.01.25,,,
2006.01.23,,,
2006.01.18,,,
2006.01.15,3.5 m white shark,,
2006.01.11,,,
2006.01.07,Bull shark,,
2006.01.04,4' shark,,
2006.01.01,Said to involve a 1.5 m shark,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
